排名,代號,名稱,市場,股價日期,成交,漲跌價,漲跌幅,面值(元),股本(億),發行量(萬張),市值(億),成立年數,掛牌年數,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
231,2867,三商壽,市,11月24日,7.27,0.11,1.54,10,14.8,590,429,32.5,12.9,,,有,,,,保險業,翁肇喜,陳宏昇
233,4772,台特化,櫃,11月24日,290,6.5,2.29,10,22.3,14.77,428,12.7,1.18,,,有,,,,化學工業,徐秀蘭,張雄飛
234,5903,全家,櫃,11月24日,191,0.5,0.26,10,158,22.32,426,37.3,23.7,,,有,,,,居家生活,葉榮廷,薛東都
236,2352,佳世達,市,11月24日,26.85,0.1,0.37,10,49,158,424,41.6,29.3,,,有,,,,電腦及週邊設備業,陳其宏,黃漢州
237,3264,欣銓,櫃,11月24日,86.4,0.2,0.23,10,52.1,49.02,424,26.1,20.9,,,有,,,,半導體業,盧志遠,張季明
239,1815,富喬,櫃,11月24日,80.7,-1.2,-1.47,10,26.1,52.09,420,26.9,19.8,,,有,,,,電子零組件業,張元賓,陳壁程
240,3035,智原,市,11月24日,160.5,1,0.63,0.4,3.8,26.06,418,32.5,26.1,,,有,,,,半導體業,洪嘉聰,王國雍
241,6548,長科*,櫃,11月24日,43.9,0.05,0.11,10,118,95.05,417,15.9,9.2,,,有,,,,半導體業,洪全成,洪全成
242,2504,國產,市,11月24日,35.3,0,0,10,9.25,118,417,71,47.7,,,有,,,,建材營造業,徐蘭英,吳志仁
244,3081,聯亞,櫃,11月24日,443.5,28,6.74,10,2.92,9.25,410,28.5,10.3,,,有,,,,通信網路業,張景溢,羅淇生
245,3131,弘塑,櫃,11月24日,1390,55,4.12,10,72.3,2.92,406,32.6,14.9,,,有,,,,其他電子業,張泰山,黃富源
246,6592,和潤企業,市,11月24日,64.7,2.9,4.69,10,29.5,62.32,403,26.5,5.96,,,有,,,,其他業,陳建州,林彥良
247,1215,卜蜂,市,11月24日,136.5,0.5,0.37,10,22,29.48,402,48.3,38.3,,,,,,,食品工業,鄭武樾,許瑞通
248,3596,智易,市,11月24日,182.5,-1,-0.54,10,30,22.04,402,22.5,16.7,,,,,,,通信網路業,陳瑞聰,曾釗鵬
249,1773,勝一,市,11月24日,134,1,0.75,10,83.5,30,402,46.8,16.7,,,,,,,化學工業,孫靜源,孫啟發
250,2498,宏達電,市,11月24日,47.65,-0.15,-0.31,10,15.4,83.52,398,28.5,23.7,,,,,,,通信網路業,王雪紅,王雪紅
252,3211,順達,櫃,11月24日,257.5,-4,-1.53,10,56.9,15.4,397,27.4,21,,,,,,,電腦及週邊設備業,鍾聰明,張崇興
254,2441,超豐,市,11月24日,68.9,-0.1,-0.14,10,30.4,56.88,392,42.7,25.1,,,,,,,半導體業,謝永達,紀有章
255,2458,義隆,市,11月24日,128.5,0,0,10,13.8,30.39,390,31.6,24.2,,,,,,,半導體業,葉儀皓,葉儀皓
257,6414,樺漢,市,11月24日,282,-5,-1.74,10,12.1,13.75,388,26.4,11.7,,,,,,,電腦及週邊設備業,朱復銓,蔡能吉
258,4766,南寶,市,11月24日,321.5,6.5,2.06,10,107,12.06,388,62.1,6.99,,,,,,,化學工業,吳政賢,許明現
260,2201,裕隆,市,11月24日,36.1,-1.45,-3.86,10,160,107,386,72.2,49.4,,,,,,,汽車工業,嚴陳莉蓮,許國興
261,2855,統一證,市,11月24日,24.05,-0.1,-0.41,10,74.5,160.1,385,36.9,26.8,,,,,,,證券業,林寬成,楊凱智
262,6147,頎邦,櫃,11月24日,51.6,0.1,0.19,10,47.1,74.46,384,28.4,23.8,,,,,,,半導體業,吳非艱,施政宏
263,4915,致伸,市,11月24日,81.5,-1.3,-1.57,10,31.6,47.12,384,19.7,13.1,,,,,,,電子零組件業,潘永中,潘永中
266,2850,新產,市,11月24日,118,1.5,1.29,10,39.2,31.6,373,62.6,25.5,,,,,,,保險業,吳昕紘,何英蘭
267,9921,巨大,市,11月24日,94.6,0.1,0.11,10,27.9,39.21,371,53.1,30.9,,,,,,,運動休閒,劉湧昌,劉素娟
268,3019,亞光,市,11月24日,132,1,0.76,10,58.2,27.92,369,45.1,25.1,,,,,,,光電業,賴以仁,林泰朗
270,00900,富邦特選高股息30,市,11月24日,12.99,0.12,0.93,10,29.6,282.6,367,3.9,3.93,,,,,,,國內成分股ETF,黃昭棠,呂其倫
271,2015,豐興,市,11月24日,63,0.7,1.12,10,40.1,58.16,366,56.9,33.5,,,,,,,鋼鐵工業,林大鈞,林永源
273,9939,宏全,市,11月24日,123.5,1,0.82,10,36.3,29.58,365,56.4,24.7,,,,,,,其他業,鄭雅文,曹宏宇
274,6412,群電,市,11月24日,90.9,0.4,0.44,10,6.8,40.08,364,16.9,12,,,,,,,電子零組件業,呂進宗,曾國華
276,6213,聯茂,市,11月24日,99.6,-0.4,-0.4,10,10.4,36.3,362,28.6,22.9,,,,,,,電子零組件業,陳進財,蔡馨(日彗)
278,7722,LINEPAY,市,11月24日,525,2,0.38,10,103,6.8,357,10.7,0.97,,,,,,,數位雲端,丁雄注,丁雄注
279,3363,上詮,櫃,11月24日,344,12.5,3.77,10,19.6,10.36,357,30.5,14.7,,,,,,,通信網路業,林松福,胡頂達
280,8415,大國鋼,櫃,11月24日,34.3,0.7,2.08,10,55.5,103.2,354,18.4,9.22,,,,,,,鋼鐵工業,謝麗雲,謝榮坤
281,3376,新日興,市,11月24日,180.5,3,1.69,10,27.1,19.58,353,57.4,19.9,,,,,,,電子零組件業,呂勝男,阮朝宗
282,8112,至上,市,11月24日,67.2,-1,-1.47,10,174,52.53,353,38.7,21.8,,,,,,,電子通路業,葛均,葛均
284,3374,精材,櫃,11月24日,129.5,-0.5,-0.38,10,23.6,27.14,351,27.2,10.7,,,,,,,半導體業,陳家湘,陳家湘
285,2923,鼎固-KY,市,11月24日,20.15,0.5,2.54,10,24.7,174,351,18,13,,,,,,,建材營造業,張洪本,張能耀
287,3030,德律,市,11月24日,145.5,3,2.11,10,59.6,23.62,344,36.6,24.7,,,,,,,其他電子業,陳玠源,陳玠源
288,9958,世紀鋼,市,11月24日,138.5,3.5,2.59,10,142,24.69,342,38.1,17.7,,,,,,,鋼鐵工業,賴文祥,李建安
291,1785,光洋科,櫃,11月24日,56.8,0.6,1.07,10,55.4,59.6,339,47.2,20.8,,,,,,,其他電子業,黄啓峰,黄啓峰
292,2903,遠百,市,11月24日,23.85,-0.05,-0.21,10,13.9,141.7,338,58.2,47.1,,,,,,,貿易百貨業,徐旭東,徐雪芳
293,2204,中華,市,11月24日,61,0.6,0.99,10,38.8,55.36,338,56.5,34.7,,,,,,,汽車工業,嚴陳莉蓮,曾鑫城
294,6670,復盛應用,市,11月24日,241.5,7,2.99,10,39.1,13.94,337,15.2,6.94,,,,,,,運動休閒,李亮箴,江慶生
295,3532,台勝科,市,11月24日,86.7,1.7,2,10,27.2,38.78,336,30,18,,,,,,,半導體業,郭文筆,高橋和也
296,5371,中光電,櫃,11月24日,85.1,2.7,3.28,10,9.7,39.1,333,33.4,26.8,,,,,,,光電業,張威儀,林惠姿
298,6214,精誠,市,11月24日,120.5,2.5,2.12,,,27.22,328,28.9,22.9,,,,,,,資訊服務業,林隆奮,林隆奮
300,6187,萬潤,櫃,11月24日,333.5,7.5,2.3,,,9.71,324,29.5,23.2,,,,,,,半導體業,盧鏡來,歐承恩
